"DR1IFOLA.Code.or.Value","DR1IFOLA.Value.Description","DR1IFOLA.Count","DR1IFOLA.Cumulative","DR1IFOLA.Skip.to.Item"
"0 to 2525","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
