"LBXRBCSI.Code.or.Value","LBXRBCSI.Value.Description","LBXRBCSI.Count","LBXRBCSI.Cumulative","LBXRBCSI.Skip.to.Item"
"1.71 to 9.16","Range of Values",8952,8952,NA
".","Missing",977,9929,NA
