"MIAPROXY.Code.or.Value","MIAPROXY.Value.Description","MIAPROXY.Count","MIAPROXY.Cumulative","MIAPROXY.Skip.to.Item"
"1","Yes",51,51,NA
"2","No",7085,7136,NA
".","Missing",3212,10348,NA
