"DBQ095Z.Code.or.Value","DBQ095Z.Value.Description","DBQ095Z.Count","DBQ095Z.Cumulative","DBQ095Z.Skip.to.Item"
"1","Ordinary salt [includes regular iodized salt, sea salt and seasoning salts made with regular salt]",4945,4945,""
"2","Lite salt",297,5242,""
"3","Salt substitute",79,5321,""
"4","Doesn't use or add salt products at the table",3902,9223,"DRQSPREP"
"91","Other",13,9236,""
"99","Don't know",102,9338,"DRQSPREP"
".","Missing",424,9762,""
