"LBDMONO.Code.or.Value","LBDMONO.Value.Description","LBDMONO.Count","LBDMONO.Cumulative","LBDMONO.Skip.to.Item"
"0.1 to 3.8","Range of Values",8786,8786,NA
".","Missing",1049,9835,NA
