"PAQ724r.Code.or.Value","PAQ724r.Value.Description","PAQ724r.Count","PAQ724r.Cumulative","PAQ724r.Skip.to.Item"
"18","ROLLER BLADING/ROLLER SKATING",57,57,NA
".","Missing",9198,9255,NA
