"LBDF04LC.Code.or.Value","LBDF04LC.Value.Description","LBDF04LC.Count","LBDF04LC.Cumulative","LBDF04LC.Skip.to.Item"
"0","detectable result",704,704,NA
"1","below detectable limit",1186,1890,NA
".","Missing",384,2274,NA
