"LBXMCHSI.Code.or.Value","LBXMCHSI.Value.Description","LBXMCHSI.Count","LBXMCHSI.Cumulative","LBXMCHSI.Skip.to.Item"
"17.1 to 56.2","Range of Values",8799,8799,NA
".","Missing",1036,9835,NA
