"CFDCIT2.Code.or.Value","CFDCIT2.Value.Description","CFDCIT2.Count","CFDCIT2.Cumulative","CFDCIT2.Skip.to.Item"
"0 to 5","Range of Values",1678,1678,NA
".","Missing",107,1785,NA
