"DIQ170.Code.or.Value","DIQ170.Value.Description","DIQ170.Count","DIQ170.Cumulative","DIQ170.Skip.to.Item"
"1","Yes",830,830,NA
"2","No",5898,6728,NA
"7","Refused",0,6728,NA
"9","Don't know",23,6751,NA
".","Missing",3071,9822,NA
