"URDMC1LC.Code.or.Value","URDMC1LC.Value.Description","URDMC1LC.Count","URDMC1LC.Cumulative","URDMC1LC.Skip.to.Item"
"0","At or above the detection limit",2449,2449,NA
"1","Below lower detection limit",40,2489,NA
".","Missing",105,2594,NA
