"LBC170LA.Code.or.Value","LBC170LA.Value.Description","LBC170LA.Count","LBC170LA.Cumulative","LBC170LA.Skip.to.Item"
"0.213 to 36","Range of Values",283,283,NA
".","Missing",1,284,NA
