"DX2HEPF.Code.or.Value","DX2HEPF.Value.Description","DX2HEPF.Count","DX2HEPF.Cumulative","DX2HEPF.Skip.to.Item"
"22.1 to 27.5","Range of Values",479,479,NA
".","Missing",6,485,NA
