"LBXPLTSI.Code.or.Value","LBXPLTSI.Value.Description","LBXPLTSI.Count","LBXPLTSI.Cumulative","LBXPLTSI.Skip.to.Item"
"11 to 1000","Range of Values",8799,8799,NA
".","Missing",1036,9835,NA
