"MCQ160e.Code.or.Value","MCQ160e.Value.Description","MCQ160e.Count","MCQ160e.Cumulative","MCQ160e.Skip.to.Item"
"1","Yes",251,251,NA
"2","No",5459,5710,NA
"7","Refused",0,5710,NA
"9","Don't know",9,5719,NA
".","Missing",3856,9575,NA
