"DS2IFA.Code.or.Value","DS2IFA.Value.Description","DS2IFA.Count","DS2IFA.Cumulative","DS2IFA.Skip.to.Item"
"6 to 20000","Range of Values",1808,1808,NA
".","Missing",3891,5699,NA
