"DXXVFATV.Code.or.Value","DXXVFATV.Value.Description","DXXVFATV.Count","DXXVFATV.Cumulative","DXXVFATV.Skip.to.Item"
"0 to 2023.87","Range of Values",5427,5427,NA
".","Missing",606,6033,NA
