"LBCF10LA.Code.or.Value","LBCF10LA.Value.Description","LBCF10LA.Count","LBCF10LA.Cumulative","LBCF10LA.Skip.to.Item"
"0.385 to 16.1","Range of Values",246,246,NA
".","Missing",1,247,NA
