"URDEQULC.Code.or.Value","URDEQULC.Value.Description","URDEQULC.Count","URDEQULC.Cumulative","URDEQULC.Skip.to.Item"
"0","At or above the detection limit;",2789,2789,NA
"1","Below the lower detection limit;",3,2792,NA
".","Missing",149,2941,NA
