"RFXT092.Code.or.Value","RFXT092.Value.Description","RFXT092.Count","RFXT092.Cumulative","RFXT092.Skip.to.Item"
"796 to 805","Range of Values",33693,33693,NA
".","Missing",28,33721,NA
