"SMQ050Q.Code.or.Value","SMQ050Q.Value.Description","SMQ050Q.Count","SMQ050Q.Cumulative","SMQ050Q.Skip.to.Item"
"1 to 75","Range of Values",1361,1361,NA
"77777","Refused",0,1361,NA
"99999","Don't know",4,1365,NA
".","Missing",3676,5041,NA
