"OSQ020c.Code.or.Value","OSQ020c.Value.Description","OSQ020c.Count","OSQ020c.Cumulative","OSQ020c.Skip.to.Item"
"1 to 10","Range of Values",101,101,NA
"7777","Refused",0,101,NA
"9999","Don't know",2,103,NA
".","Missing",4938,5041,NA
