"OSQ020c.Code.or.Value","OSQ020c.Value.Description","OSQ020c.Count","OSQ020c.Cumulative","OSQ020c.Skip.to.Item"
"1 to 5","Range of Values",151,151,NA
"7777","Refused",0,151,NA
"9999","Don't know",2,153,NA
".","Missing",5782,5935,NA
