"URDDCBLC.Code.or.Value","URDDCBLC.Value.Description","URDDCBLC.Count","URDDCBLC.Cumulative","URDDCBLC.Skip.to.Item"
"0","At or above the detection limit",2423,2423,NA
"1","Below lower detection limit",326,2749,NA
".","Missing",70,2819,NA
