"DR1ISFAT.Code.or.Value","DR1ISFAT.Value.Description","DR1ISFAT.Count","DR1ISFAT.Cumulative","DR1ISFAT.Skip.to.Item"
"0 to 94.367","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
