"DS2TVD.Code.or.Value","DS2TVD.Value.Description","DS2TVD.Count","DS2TVD.Cumulative","DS2TVD.Skip.to.Item"
"0.5 to 1250","Range of Values",2044,2044,NA
".","Missing",7769,9813,NA
