"LBDF10LC.Code.or.Value","LBDF10LC.Value.Description","LBDF10LC.Count","LBDF10LC.Cumulative","LBDF10LC.Skip.to.Item"
"0","At or above the detection limit",11,11,NA
"1","Below lower detection limit",277,288,NA
".","Missing",13,301,NA
