"VIQ051D.Code.or.Value","VIQ051D.Value.Description","VIQ051D.Count","VIQ051D.Cumulative","VIQ051D.Skip.to.Item"
"1","No difficulty",5236,5236,NA
"2","A little difficulty",406,5642,NA
"3","Moderate difficulty",168,5810,NA
"4","Extreme difficulty",57,5867,NA
"5","Unable to do because of eyesight",27,5894,NA
"6","Does not do this for other reasons",29,5923,NA
"77","Refused",0,5923,NA
"99","Don't know",4,5927,NA
".","Missing",1246,7173,NA
