"WBXA029.Code.or.Value","WBXA029.Value.Description","WBXA029.Count","WBXA029.Cumulative","WBXA029.Skip.to.Item"
"-3.9138 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
