"RIDRETH3.Code.or.Value","RIDRETH3.Value.Description","RIDRETH3.Count","RIDRETH3.Cumulative","RIDRETH3.Skip.to.Item"
"1","Mexican American",44,44,NA
"2","Other Hispanic",28,72,NA
"3","Non-Hispanic White",110,182,NA
"4","Non-Hispanic Black",59,241,NA
"6","Non-Hispanic Asian",32,273,NA
"7","Other Race, Including Multiracial",11,284,NA
".","Missing",0,284,NA
