"DS1TLZ.Code.or.Value","DS1TLZ.Value.Description","DS1TLZ.Count","DS1TLZ.Cumulative","DS1TLZ.Skip.to.Item"
"33 to 40000","Range of Values",480,480,NA
".","Missing",9333,9813,NA
