"DSQILZ.Code.or.Value","DSQILZ.Value.Description","DSQILZ.Count","DSQILZ.Cumulative","DSQILZ.Skip.to.Item"
"25 to 300000","Range of Values",781,781,NA
".","Missing",7619,8400,NA
