"WTSVS2YR.Code.or.Value","WTSVS2YR.Value.Description","WTSVS2YR.Count","WTSVS2YR.Cumulative","WTSVS2YR.Skip.to.Item"
"5744.883139 to 533055.09127","Range of Values",3017,3017,NA
"0","No Lab Result",249,3266,NA
".","Missing",0,3266,NA
