"DSXDP1.Code.or.Value","DSXDP1.Value.Description","DSXDP1.Count","DSXDP1.Cumulative","DSXDP1.Skip.to.Item"
"0.42 to 6516.04","Range of Values",6957,6957,NA
".","Missing",2483,9440,NA
