"URX3TB.Code.or.Value","URX3TB.Value.Description","URX3TB.Count","URX3TB.Cumulative","URX3TB.Skip.to.Item"
"0.35 to 95","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
