"SMD641.Code.or.Value","SMD641.Value.Description","SMD641.Count","SMD641.Cumulative","SMD641.Skip.to.Item"
"0 to 30","Range of Values",1310,1310,NA
"77","Refused",0,1310,NA
"99","Don't know",3,1313,NA
".","Missing",5477,6790,NA
