"PAD120.Code.or.Value","PAD120.Value.Description","PAD120.Count","PAD120.Cumulative","PAD120.Skip.to.Item"
"1 to 120","Range of Values",3633,3633,NA
"77777","Refused",0,3633,NA
"99999","Don't know",2,3635,NA
".","Missing",5789,9424,NA
