"WTSHM24.Code.or.Value","WTSHM24.Value.Description","WTSHM24.Count","WTSHM24.Cumulative","WTSHM24.Skip.to.Item"
"0.0000000 to 751800.8751500","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
