"WBXF061.Code.or.Value","WBXF061.Value.Description","WBXF061.Count","WBXF061.Cumulative","WBXF061.Skip.to.Item"
"2118.9262 to 2118.9262","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
