"DSQIIODI.Code.or.Value","DSQIIODI.Value.Description","DSQIIODI.Count","DSQIIODI.Cumulative","DSQIIODI.Skip.to.Item"
"0.15 to 12500","Range of Values",1732,1732,NA
".","Missing",6537,8269,NA
