"LBCHXCLA.Code.or.Value","LBCHXCLA.Value.Description","LBCHXCLA.Count","LBCHXCLA.Cumulative","LBCHXCLA.Skip.to.Item"
"1.31 to 54.1","Range of Values",247,247,NA
".","Missing",17,264,NA
