"URDACT.Code.or.Value","URDACT.Value.Description","URDACT.Count","URDACT.Cumulative","URDACT.Skip.to.Item"
"0.08 to 13787.88","Range of Values",8398,8398,NA
".","Missing",193,8591,NA
