"MCQ240K.Code.or.Value","MCQ240K.Value.Description","MCQ240K.Count","MCQ240K.Cumulative","MCQ240K.Skip.to.Item"
"58 to 70","Range of Values",2,2,NA
"80","80 years or older",0,2,NA
"77777","Refused",0,2,NA
"99999","Don't know",0,2,NA
".","Missing",9664,9666,NA
