"LBXVE3MS.Code.or.Value","LBXVE3MS.Value.Description","LBXVE3MS.Count","LBXVE3MS.Cumulative","LBXVE3MS.Skip.to.Item"
"1.16 to 23.1","Range of Values",6925,6925,NA
".","Missing",2382,9307,NA
