"DR1TSUGR.Code.or.Value","DR1TSUGR.Value.Description","DR1TSUGR.Count","DR1TSUGR.Cumulative","DR1TSUGR.Skip.to.Item"
"0 to 1048.48","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
