"BPAARM.Code.or.Value","BPAARM.Value.Description","BPAARM.Count","BPAARM.Cumulative","BPAARM.Skip.to.Item"
"1","Right",6784,6784,NA
"2","Left",33,6817,NA
"8","Could not obtain",0,6817,NA
".","Missing",1887,8704,NA
