"LBDD03LC.Code.or.Value","LBDD03LC.Value.Description","LBDD03LC.Count","LBDD03LC.Cumulative","LBDD03LC.Skip.to.Item"
"0","At or above the detection limit",234,234,NA
"1","Below lower detection limit",12,246,NA
".","Missing",1,247,NA
