"DS1TNIAC.Code.or.Value","DS1TNIAC.Value.Description","DS1TNIAC.Count","DS1TNIAC.Cumulative","DS1TNIAC.Skip.to.Item"
"0.3 to 1520","Range of Values",1154,1154,NA
".","Missing",7550,8704,NA
