"URXBPS.Code.or.Value","URXBPS.Value.Description","URXBPS.Count","URXBPS.Cumulative","URXBPS.Skip.to.Item"
"0.07 to 177.6","Range of Values",2651,2651,NA
".","Missing",152,2803,NA
