"URXUMN.Code.or.Value","URXUMN.Value.Description","URXUMN.Count","URXUMN.Cumulative","URXUMN.Skip.to.Item"
"0.092 to 18.95","Range of Values",2528,2528,NA
".","Missing",77,2605,NA
