"SPQ080.Code.or.Value","SPQ080.Value.Description","SPQ080.Count","SPQ080.Cumulative","SPQ080.Skip.to.Item"
"1","Yes",7,7,"SPAENA"
"2","No",94,101,""
"7","Refused",0,101,"SPAENA"
"9","Don't know",0,101,"SPAENA"
".","Missing",8094,8195,""
