"DR2TSELE.Code.or.Value","DR2TSELE.Value.Description","DR2TSELE.Count","DR2TSELE.Cumulative","DR2TSELE.Skip.to.Item"
"0 to 867.2","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
