"DR1CCMNM.Code.or.Value","DR1CCMNM.Value.Description","DR1CCMNM.Count","DR1CCMNM.Cumulative","DR1CCMNM.Skip.to.Item"
"0 to 11","Range of Values",121481,121481,NA
".","Missing",0,121481,NA
