"OSQ230.Code.or.Value","OSQ230.Value.Description","OSQ230.Count","OSQ230.Cumulative","OSQ230.Skip.to.Item"
"1","Yes",1128,1128,NA
"2","No",2732,3860,NA
"7","Refused",0,3860,NA
"9","Don't Know",22,3882,NA
".","Missing",5015,8897,NA
