"LBDSF1LC.Code.or.Value","LBDSF1LC.Value.Description","LBDSF1LC.Count","LBDSF1LC.Cumulative","LBDSF1LC.Skip.to.Item"
"0","At or above the detection limit",8455,8455,NA
"1","Below lower detection limit",0,8455,NA
".","Missing",967,9422,NA
