"LBDGLYLC.Code.or.Value","LBDGLYLC.Value.Description","LBDGLYLC.Count","LBDGLYLC.Cumulative","LBDGLYLC.Skip.to.Item"
"0","detectable result",2254,2254,NA
"1","below detectable limit",0,2254,NA
".","Missing",351,2605,NA
