"RHQ586Q.Code.or.Value","RHQ586Q.Value.Description","RHQ586Q.Count","RHQ586Q.Cumulative","RHQ586Q.Skip.to.Item"
"1 to 30","Range of Values",41,41,NA
"77","Refused",0,41,NA
"99","Don't know",1,42,NA
".","Missing",3703,3745,NA
