"LBXVMC.Code.or.Value","LBXVMC.Value.Description","LBXVMC.Count","LBXVMC.Cumulative","LBXVMC.Skip.to.Item"
"0.177 to 32.8","Range of Values",2953,2953,NA
".","Missing",313,3266,NA
