"DXDTRBMD.Code.or.Value","DXDTRBMD.Value.Description","DXDTRBMD.Count","DXDTRBMD.Cumulative","DXDTRBMD.Skip.to.Item"
"0.418 to 1.389","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
