"LBXCD8.Code.or.Value","LBXCD8.Value.Description","LBXCD8.Count","LBXCD8.Cumulative","LBXCD8.Skip.to.Item"
"218 to 1321","Range of Values",24,24,NA
".","Missing",3275,3299,NA
