"DRXTP226.Code.or.Value","DRXTP226.Value.Description","DRXTP226.Count","DRXTP226.Cumulative","DRXTP226.Skip.to.Item"
"0 to 3.16","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
