"OPDUSUBH.Code.or.Value","OPDUSUBH.Value.Description","OPDUSUBH.Count","OPDUSUBH.Cumulative","OPDUSUBH.Skip.to.Item"
"0","No",3212,3212,NA
"1","Yes",8,3220,NA
".","Missing",643,3863,NA
