"DXXLAA.Code.or.Value","DXXLAA.Value.Description","DXXLAA.Count","DXXLAA.Cumulative","DXXLAA.Skip.to.Item"
"69.89 to 386.5","Range of Values",4682,4682,NA
".","Missing",1010,5692,NA
