"LBXSOSSI.Code.or.Value","LBXSOSSI.Value.Description","LBXSOSSI.Count","LBXSOSSI.Cumulative","LBXSOSSI.Skip.to.Item"
"207 to 315","Range of Values",5974,5974,NA
".","Missing",575,6549,NA
